# hostname;interval;timestamp;pswpin/s;pswpout/s;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pes;167;2020-04-02 05:31:41 UTC;65.79;0.00;263.94;13066.03;12682.23;45.74;918.18;0.00;0.00;0.00;0.00;999724;64853572;98.48;317840;12837036;66753880;50.24;48725852;13337476;392
pes;1;2020-04-02 05:31:42 UTC;32.00;0.00;128.00;0.00;32120.00;23.00;1635.00;0.00;0.00;0.00;0.00;981464;64871832;98.51;317840;12837304;66762944;50.25;48728284;13336928;72
pes;1;2020-04-02 05:31:43 UTC;0.00;0.00;0.00;8.00;26217.00;0.00;1537.00;0.00;0.00;0.00;0.00;981428;64871868;98.51;317840;12837340;66762944;50.25;48728916;13336436;116
pes;132;2020-04-02 05:33:55 UTC;285.12;30.95;6112.43;7996.00;13624.99;108.67;2646.86;1567.83;0.00;1536.41;98.00;270116;65583180;99.59;305912;13510332;66764640;50.25;48581852;14270316;224
pes;1;2020-04-02 05:33:56 UTC;26.00;0.00;656.00;224.00;17904.00;28.00;560.00;0.00;0.00;0.00;0.00;267004;65586292;99.59;306068;13511096;66764640;50.25;48588392;14267140;264
pes;1;2020-04-02 05:33:57 UTC;0.00;0.00;0.00;292.00;14456.00;0.00;233.00;0.00;0.00;0.00;0.00;266336;65586960;99.60;306068;13511620;66764640;50.25;48593576;14262612;200
pes;242;2020-04-02 05:37:59 UTC;0.51;0.77;7.10;376.28;8422.68;0.53;313.72;40.01;0.00;39.23;98.06;279304;65573992;99.58;306004;13528608;66756564;50.25;48629536;14238692;196
pes;1;2020-04-02 05:38:00 UTC;13.00;115.00;52.00;632.00;27586.00;13.00;9664.00;8349.00;0.00;8230.00;98.57;285756;65567540;99.57;304764;13497832;66766040;50.25;48624504;14212856;260
pes;1;2020-04-02 05:38:01 UTC;0.00;0.00;0.00;152.00;3901.00;0.00;366.00;0.00;0.00;0.00;0.00;285792;65567504;99.57;304764;13497680;66766040;50.25;48623940;14213184;300
pes;17;2020-04-02 05:38:18 UTC;0.30;0.00;133.49;289.07;6437.95;1.31;1016.03;0.00;0.00;0.00;0.00;314732;65538564;99.52;304944;13501668;66760852;50.25;48619212;14214124;36
pes;1;2020-04-02 05:38:19 UTC;7.00;0.00;28.00;64.00;21338.00;7.00;1303.00;0.00;0.00;0.00;0.00;287480;65565816;99.56;304944;13501700;66770968;50.26;48621480;14214080;92
pes;1;2020-04-02 05:38:20 UTC;0.00;0.00;0.00;208.00;24907.00;0.00;1367.00;0.00;0.00;0.00;0.00;287916;65565380;99.56;304944;13501732;66770968;50.26;48621544;14214076;124
pes;1399;2020-04-02 06:01:39 UTC;0.20;0.62;1.24;300.30;7412.34;0.20;181.31;26.87;0.00;26.24;97.68;298180;65555116;99.55;303824;13543792;66754312;50.24;48606996;14239788;104
pes;1;2020-04-02 06:01:40 UTC;7.00;0.00;28.00;76.00;2264.00;7.00;525.00;0.00;0.00;0.00;0.00;271992;65581304;99.59;303824;13543796;66763124;50.25;48609612;14239788;104
pes;1;2020-04-02 06:01:41 UTC;0.00;0.00;0.00;100.00;890.00;0.00;203.00;0.00;0.00;0.00;0.00;271644;65581652;99.59;303824;13543852;66763124;50.25;48610256;14239440;200
pes;26;2020-04-02 06:02:07 UTC;43.01;0.00;172.03;784.73;1794.52;34.69;447.58;0.00;0.00;0.00;0.00;293320;65559976;99.55;303832;13545988;66750520;50.24;48629736;14221884;88
pes;1;2020-04-02 06:02:08 UTC;7.00;0.00;32.00;88.00;2652.00;4.00;538.00;0.00;0.00;0.00;0.00;267016;65586280;99.59;303832;13545988;66762016;50.25;48631896;14221884;88
pes;1;2020-04-02 06:02:09 UTC;0.00;0.00;0.00;0.00;1619.00;0.00;202.00;0.00;0.00;0.00;0.00;266604;65586692;99.60;303832;13546060;66762016;50.25;48632776;14221824;48
pes;92;2020-04-02 06:03:42 UTC;0.25;16.45;1.73;3492.27;4205.09;0.25;1012.96;749.70;0.00;733.08;97.78;286120;65567176;99.57;303652;13562296;66755288;50.24;48602920;14253120;52
pes;1;2020-04-02 06:03:43 UTC;13.00;90.00;52.00;460.00;4311.00;11.00;8030.00;6284.00;620.00;6814.00;98.70;307848;65545448;99.53;303648;13536388;66755288;50.24;48589912;14240744;52
pes;1;2020-04-02 06:03:44 UTC;0.00;0.00;0.00;0.00;918.00;0.00;169.00;0.00;0.00;0.00;0.00;315744;65537552;99.52;303648;13535864;66755288;50.24;48590324;14240456;136
pes;142;2020-04-02 06:06:06 UTC;182.62;73.45;5413.11;7342.17;4393.66;101.97;3405.07;3188.71;0.00;3114.34;97.67;281748;65571548;99.57;301536;13522732;66726464;50.22;48387216;14474276;42912
pes;1;2020-04-02 06:06:07 UTC;10.00;144.00;168.00;576.00;14879.00;9.00;14476.00;11089.00;1203.00;12148.00;98.83;315808;65537488;99.52;301480;13475644;66758068;50.25;48374496;14441720;42912
pes;1;2020-04-02 06:06:08 UTC;0.00;0.00;4.00;0.00;8032.00;0.00;330.00;0.00;0.00;0.00;0.00;320708;65532588;99.51;301480;13475856;66758068;50.25;48376876;14439068;42984
pes;72;2020-04-02 06:07:20 UTC;0.54;27.62;3.37;932.17;13473.22;0.52;1546.61;1111.86;0.00;1084.03;97.50;279356;65573940;99.58;300780;13179208;66744652;50.24;48716592;14147180;72
pes;1;2020-04-02 06:07:21 UTC;7.92;203.96;63.37;815.84;5246.53;4.95;6147.52;4805.94;803.96;5404.95;96.35;291344;65561952;99.56;300748;13158392;66744652;50.24;48712544;14132172;108
pes;1;2020-04-02 06:07:22 UTC;153.00;0.00;612.00;0.00;3811.00;113.00;193.00;0.00;0.00;0.00;0.00;293056;65560240;99.55;300748;13158108;66744652;50.24;48712676;14131508;116
pes;22;2020-04-02 06:07:44 UTC;33.78;0.00;136.54;158.47;1172.46;25.27;505.26;0.00;0.00;0.00;0.00;287744;65565552;99.56;300756;13159024;66736248;50.23;48738816;14127888;24
pes;1;2020-04-02 06:07:45 UTC;28.00;207.00;112.00;900.00;2967.00;21.00;7949.00;5922.00;1454.00;7168.00;97.18;295196;65558100;99.55;300728;13131252;66744588;50.24;48732580;14108748;24
pes;1;2020-04-02 06:07:46 UTC;5.00;0.00;32.00;0.00;1329.00;2.00;177.00;0.00;0.00;0.00;0.00;298576;65554720;99.55;300728;13131568;66744588;50.24;48732776;14108184;48
pes;150;2020-04-02 06:10:17 UTC;40.57;20.79;474.94;6606.90;7737.36;28.49;1185.65;794.34;0.00;773.44;97.37;301508;65551788;99.54;299436;12942812;66739576;50.23;49150744;13690016;436
pes;1;2020-04-02 06:10:18 UTC;8.00;0.00;100.00;72.00;2617.00;6.00;641.00;0.00;0.00;0.00;0.00;272792;65580504;99.59;299436;12943192;66739576;50.23;49154196;13689856;164
pes;1;2020-04-02 06:10:19 UTC;199.00;0.00;796.00;0.00;2738.00;164.00;217.00;0.00;0.00;0.00;0.00;272696;65580600;99.59;299436;12943208;66739576;50.23;49154768;13689804;212
pes;199;2020-04-02 06:13:38 UTC;110.80;67.96;871.49;7017.05;5473.43;72.12;2593.34;2399.51;0.00;2331.04;97.15;267808;65585488;99.59;292524;12963144;66733304;50.23;49035620;13829760;537652
pes;1;2020-04-02 06:13:39 UTC;0.00;0.00;0.00;97664.00;852.00;0.00;166.00;0.00;0.00;0.00;0.00;267808;65585488;99.59;292524;12963144;66733304;50.23;49036056;13829760;440352
pes;1;2020-04-02 06:13:40 UTC;0.00;0.00;60.00;98304.00;127.00;2.00;140.00;0.00;0.00;0.00;0.00;267460;65585836;99.59;292524;12963276;66733304;50.23;49036256;13829748;341444
pes;54;2020-04-02 06:14:34 UTC;2.19;40.97;418.96;12805.73;16055.78;2.20;2151.19;1487.73;61.82;1508.45;97.35;274796;65578500;99.58;291152;12931732;66742072;50.23;49060588;13806768;108
pes;1;2020-04-02 06:14:35 UTC;7.00;108.00;200.00;432.00;5053.00;12.00;5354.00;4202.00;570.00;4664.00;97.74;279452;65573844;99.58;291084;12914292;66742072;50.23;49060200;13791988;108
pes;1;2020-04-02 06:14:36 UTC;0.00;0.00;0.00;96.00;4160.00;0.00;239.00;0.00;0.00;0.00;0.00;278948;65574348;99.58;291084;12914292;66742072;50.23;49059764;13791988;108
pes;125;2020-04-02 06:16:41 UTC;211.25;100.09;6093.73;8753.62;4668.56;97.92;3875.03;3624.91;0.00;3524.37;97.23;284448;65568848;99.57;282112;12905112;66733868;50.23;49031288;13837352;0
pes;1;2020-04-02 06:16:42 UTC;7.00;469.00;856.00;2008.00;11227.00;33.00;21325.00;17190.00;1318.00;18039.00;97.47;341144;65512152;99.48;281944;12836076;66725656;50.22;49006028;13793020;0
pes;1;2020-04-02 06:16:43 UTC;2.00;0.00;12.00;32.00;7263.00;2.00;261.00;0.00;0.00;0.00;0.00;341144;65512152;99.48;281944;12836076;66725656;50.22;49006028;13793020;0
pes;48;2020-04-02 06:17:31 UTC;5.30;204.65;23.72;9306.04;18810.14;4.23;7202.39;6497.11;0.00;6286.80;96.76;297248;65556048;99.55;275100;12093144;66727828;50.22;49770728;13100008;604
pes;1;2020-04-02 06:17:32 UTC;8.00;0.00;44.00;560.00;2783.00;10.00;676.00;0.00;0.00;0.00;0.00;271128;65582168;99.59;275100;12093144;66727828;50.22;49772036;13100008;604
pes;1;2020-04-02 06:17:33 UTC;0.00;0.00;0.00;4.00;7622.00;0.00;509.00;0.00;0.00;0.00;0.00;268952;65584344;99.59;275100;12093156;66727828;50.22;49772888;13099744;692
pes;51;2020-04-02 06:18:24 UTC;0.21;110.27;1.56;13539.39;5611.79;0.25;3731.32;3393.03;0.00;3281.92;96.73;303104;65550192;99.54;270876;12112636;66713796;50.21;49726732;13126628;84
pes;1;2020-04-02 06:18:25 UTC;5.00;0.00;28.00;140.00;24734.00;6.00;3225.00;0.00;0.00;0.00;0.00;276772;65576524;99.58;270876;12112640;66721876;50.22;49731568;13126628;84
pes;1;2020-04-02 06:18:26 UTC;0.00;0.00;0.00;0.00;8482.00;0.00;221.00;0.00;0.00;0.00;0.00;276712;65576584;99.58;270876;12112640;66721876;50.22;49731568;13126628;84
pes;116;2020-04-02 06:20:22 UTC;96.06;298.09;384.47;20273.15;14100.07;68.17;8149.87;8024.49;0.00;7724.09;96.26;298776;65554520;99.55;243464;10866632;66713960;50.21;50901760;11960444;568
pes;1;2020-04-02 06:20:23 UTC;6.00;0.00;72.00;0.00;2291.00;9.00;448.00;0.00;0.00;0.00;0.00;271212;65582084;99.59;243464;10866656;66713960;50.21;50904260;11960316;564
pes;1;2020-04-02 06:20:24 UTC;0.00;0.00;0.00;616.00;8029.00;0.00;216.00;0.00;0.00;0.00;0.00;270708;65582588;99.59;243464;10866656;66713960;50.21;50904260;11960316;564
pes;21;2020-04-02 06:20:45 UTC;0.19;0.00;1.15;2325.02;19926.27;0.19;811.03;0.00;0.00;0.00;0.00;255032;65598264;99.61;243468;10905264;66728108;50.22;50915616;11984628;204
pes;1;2020-04-02 06:20:46 UTC;5.00;573.00;20.00;2292.00;8134.00;5.00;18321.00;16100.00;852.00;16375.00;96.60;323248;65530048;99.51;242944;10843084;66739128;50.23;50905844;11931684;56
pes;1;2020-04-02 06:20:47 UTC;0.00;430.00;0.00;1880.00;2932.00;0.00;9869.00;9949.00;0.00;9516.00;95.65;279008;65574288;99.58;242680;10888052;66739128;50.23;50901600;11979136;83068
pes;6629;2020-04-02 08:11:16 UTC;0.04;1.57;3.30;190.20;283.92;0.05;96.00;37.19;0.74;36.34;95.81;250376;65602920;99.62;240836;11025588;66742528;50.23;50813164;12083940;104
pes;1;2020-04-02 08:11:17 UTC;32.00;351.00;128.00;1424.00;31687.00;29.00;15854.00;14585.00;0.00;14229.00;97.56;284680;65568616;99.57;240088;10972216;66742528;50.23;50806312;12036592;144
pes;1;2020-04-02 08:11:18 UTC;1.00;0.00;4.00;180.00;13309.00;1.00;1582.00;0.00;0.00;0.00;0.00;284296;65569000;99.57;240088;10972260;66742528;50.23;50807192;12036188;176
pes;17;2020-04-02 08:11:36 UTC;0.40;0.00;2.74;76.16;3948.31;0.40;916.30;0.00;0.00;0.00;0.00;308432;65544864;99.53;240088;10972528;66743932;50.24;50807036;12034872;4
pes;1;2020-04-02 08:11:37 UTC;20.00;0.00;80.00;0.00;6753.00;20.00;441.00;0.00;0.00;0.00;0.00;285136;65568160;99.57;240088;10972524;66752736;50.24;50807908;12034872;4
pes;1;2020-04-02 08:11:38 UTC;1.00;0.00;4.00;0.00;2335.00;1.00;173.00;0.00;0.00;0.00;0.00;285136;65568160;99.57;240088;10972524;66752736;50.24;50807908;12034872;4
pes;1537;2020-04-02 08:37:15 UTC;0.53;1.33;2.18;289.92;7440.57;0.52;162.45;30.65;0.00;29.29;95.55;273880;65579416;99.58;238812;10998352;66742532;50.23;50823716;12049284;32
pes;1;2020-04-02 08:37:16 UTC;7.00;0.00;28.00;0.00;2334.00;7.00;430.00;0.00;0.00;0.00;0.00;254472;65598824;99.61;238812;10998348;66751328;50.24;50825024;12049284;32
pes;1;2020-04-02 08:37:17 UTC;0.00;0.00;0.00;248.00;714.00;0.00;158.00;0.00;0.00;0.00;0.00;253384;65599912;99.62;238812;10998452;66751328;50.24;50826280;12049216;124
pes;17;2020-04-02 08:37:34 UTC;0.18;15.50;0.73;2582.08;2811.44;0.18;1184.87;601.39;0.00;585.53;97.36;269024;65584272;99.59;238452;11002936;66743824;50.24;50818572;12056052;20
pes;1;2020-04-02 08:37:35 UTC;7.00;117.00;28.00;468.00;2570.00;7.00;8201.00;7165.00;431.00;7477.00;98.43;280092;65573204;99.57;237736;10974872;66752164;50.24;50815640;12032380;20
pes;1;2020-04-02 08:37:36 UTC;0.00;0.00;0.00;352.00;1017.00;0.00;163.00;0.00;0.00;0.00;0.00;280108;65573188;99.57;237736;10975068;66752164;50.24;50815024;12031948;28
pes;91;2020-04-02 08:39:06 UTC;0.19;24.69;1.59;3089.16;2920.17;0.17;815.68;577.58;0.00;552.56;95.67;274032;65579264;99.58;235684;11014172;66751844;50.24;50832900;12037264;1076
pes;1;2020-04-02 08:39:07 UTC;5.00;242.00;20.00;968.00;1793.00;6.00;8685.00;7130.00;878.00;7763.00;96.94;299680;65553616;99.54;234860;10984756;66751844;50.24;50830280;12012036;1076
pes;1;2020-04-02 08:39:08 UTC;0.00;0.00;0.00;0.00;950.00;0.00;224.00;0.00;0.00;0.00;0.00;299680;65553616;99.54;234860;10984756;66751844;50.24;50830280;12012036;1076
pes;21;2020-04-02 08:39:29 UTC;1.10;0.00;4.38;170.48;17906.57;1.10;849.10;0.00;0.00;0.00;0.00;315668;65537628;99.52;234860;10986584;66754124;50.24;50834704;12005912;40
pes;1;2020-04-02 08:39:30 UTC;10.00;658.00;40.00;2632.00;11755.00;10.00;17020.00;17006.00;0.00;16333.00;96.04;276984;65576312;99.58;234080;11005756;66763000;50.25;50824484;12033072;81504
pes;1;2020-04-02 08:39:31 UTC;0.00;0.00;0.00;0.00;1923.00;0.00;183.00;0.00;0.00;0.00;0.00;276488;65576808;99.58;234080;11007032;66763000;50.25;50824184;12034816;82224
pes;78;2020-04-02 08:40:49 UTC;0.40;138.71;1.95;13965.72;11309.97;0.40;3554.24;3323.12;0.00;3182.80;95.78;306560;65546736;99.53;224332;11027108;66760268;50.25;50752980;12089720;536
pes;1;2020-04-02 08:40:50 UTC;8.00;0.00;32.00;0.00;4707.00;8.00;493.00;0.00;0.00;0.00;0.00;279448;65573848;99.58;224332;11027128;66770076;50.26;50754616;12089644;568
pes;1;2020-04-02 08:40:51 UTC;0.00;0.00;0.00;0.00;4035.00;0.00;198.00;0.00;0.00;0.00;0.00;279448;65573848;99.58;224332;11027128;66770076;50.26;50754616;12089644;568
pes;17;2020-04-02 08:41:09 UTC;0.29;0.00;1.40;200.23;982.42;0.29;586.15;0.00;0.00;0.00;0.00;299576;65553720;99.55;224336;11028096;66765644;50.25;50752812;12090128;284
pes;1;2020-04-02 08:41:10 UTC;7.00;0.00;28.00;0.00;3074.00;7.00;468.00;0.00;0.00;0.00;0.00;277992;65575304;99.58;224336;11028096;66773748;50.26;50754120;12090128;284
pes;1;2020-04-02 08:41:11 UTC;0.00;0.00;0.00;0.00;1387.00;0.00;165.00;0.00;0.00;0.00;0.00;277268;65576028;99.58;224336;11028172;66773748;50.26;50755504;12089992;388
pes;99;2020-04-02 08:42:50 UTC;0.47;19.44;2.18;9072.33;6524.37;0.46;708.09;441.78;0.00;422.18;95.56;293320;65559976;99.55;222656;11050336;66783136;50.27;50937028;11914564;144
pes;1;2020-04-02 08:42:51 UTC;33.00;0.00;132.00;0.00;8225.00;31.00;523.00;0.00;0.00;0.00;0.00;266132;65587164;99.60;222656;11050368;66783136;50.27;50939124;11914588;184
pes;1;2020-04-02 08:42:52 UTC;0.00;0.00;0.00;0.00;20994.00;0.00;463.00;0.00;0.00;0.00;0.00;265224;65588072;99.60;222656;11050404;66783136;50.27;50942208;11912556;216
pes;96;2020-04-02 08:44:27 UTC;0.08;107.65;0.42;11337.52;5011.34;0.09;2643.86;2458.77;0.00;2350.20;95.58;302872;65550424;99.54;214820;11097452;66755184;50.24;50871380;11969944;92
pes;1;2020-04-02 08:44:28 UTC;6.00;0.00;24.00;0.00;4071.00;6.00;618.00;0.00;0.00;0.00;0.00;276700;65576596;99.58;214820;11097448;66776948;50.26;50873036;11969928;96
pes;1;2020-04-02 08:44:29 UTC;0.00;0.00;0.00;56.00;1427.00;0.00;186.00;0.00;0.00;0.00;0.00;276336;65576960;99.58;214820;11097460;66776948;50.26;50873108;11969900;100
pes;50;2020-04-02 08:45:19 UTC;0.32;215.81;1.29;21826.55;13744.33;0.32;5700.14;5343.38;0.00;5126.09;95.93;296684;65556612;99.55;202936;11144908;66771880;50.26;50836216;11999740;748
pes;1;2020-04-02 08:45:20 UTC;36.00;0.00;144.00;64.00;7631.00;36.00;676.00;0.00;0.00;0.00;0.00;271640;65581656;99.59;202940;11144912;66771880;50.26;50837960;11999740;748
pes;1;2020-04-02 08:45:21 UTC;13.00;0.00;52.00;0.00;8828.00;13.00;163.00;0.00;0.00;0.00;0.00;271640;65581656;99.59;202940;11144916;66771880;50.26;50837960;11999740;748
pes;23;2020-04-02 08:45:44 UTC;0.18;109.09;3.51;12230.90;15247.76;0.18;3404.87;2741.35;0.00;2629.10;95.91;273304;65579992;99.58;199056;11160540;66756372;50.24;50832516;12005216;128
pes;1;2020-04-02 08:45:45 UTC;2.00;340.00;28.00;1404.00;3016.00;2.00;8175.00;7255.00;0.00;6943.00;95.70;292744;65560552;99.56;198060;11140452;66756372;50.24;50832712;11984800;80
pes;1;2020-04-02 08:45:46 UTC;0.00;0.00;0.00;0.00;1693.00;0.00;176.00;0.00;0.00;0.00;0.00;292960;65560336;99.56;198060;11140472;66756372;50.24;50832008;11984844;84
pes;49;2020-04-02 08:46:34 UTC;1.15;150.00;5.10;16540.24;9132.08;0.78;4440.40;4015.74;0.00;3864.73;96.24;302292;65551004;99.54;190512;11193828;66750408;50.24;50800372;12030536;628
pes;1;2020-04-02 08:46:35 UTC;31.00;0.00;124.00;0.00;4013.00;31.00;478.00;0.00;0.00;0.00;0.00;275932;65577364;99.58;190512;11193836;66758572;50.25;50802116;12030536;628
pes;1;2020-04-02 08:46:36 UTC;0.00;0.00;0.00;0.00;4948.00;0.00;283.00;0.00;0.00;0.00;0.00;275932;65577364;99.58;190512;11193836;66758572;50.25;50802116;12030536;628
pes;49;2020-04-02 08:47:26 UTC;0.12;91.39;3.50;13991.78;5128.69;0.14;2334.26;2061.77;0.00;1969.83;95.54;295524;65557772;99.55;189552;11211836;66756844;50.25;50905896;11923012;156
pes;1;2020-04-02 08:47:27 UTC;3.00;0.00;24.00;0.00;13117.00;3.00;564.00;0.00;0.00;0.00;0.00;275676;65577620;99.58;189552;11211832;66764952;50.25;50907640;11923012;156
pes;1;2020-04-02 08:47:28 UTC;0.00;0.00;0.00;572.00;7565.00;0.00;266.00;0.00;0.00;0.00;0.00;275716;65577580;99.58;189552;11211864;66764952;50.25;50908228;11922804;164
pes;86;2020-04-02 08:48:54 UTC;0.77;196.88;3.90;21169.97;13094.73;0.82;5060.69;4823.36;0.00;4625.48;95.90;276888;65576408;99.58;184372;11305456;66740744;50.23;50973156;11878812;68848
pes;1;2020-04-02 08:48:55 UTC;15.00;375.00;76.00;1500.00;13061.00;16.00;16099.00;15061.00;442.00;15128.00;97.58;269520;65583776;99.59;184024;11317072;66754576;50.24;50970800;11890884;138504
pes;1;2020-04-02 08:48:56 UTC;0.00;0.00;0.00;0.00;2399.00;0.00;196.00;0.00;0.00;0.00;0.00;269724;65583572;99.59;184024;11317100;66754576;50.24;50970828;11890912;138532
pes;22;2020-04-02 08:49:18 UTC;0.36;0.00;2.33;6316.42;17881.16;0.36;609.44;0.00;0.00;0.00;0.00;281712;65571584;99.57;184024;11317788;66752308;50.24;50975648;11885268;204
pes;1;2020-04-02 08:49:19 UTC;6.00;0.00;24.00;64.00;3133.00;6.00;430.00;0.00;0.00;0.00;0.00;259296;65594000;99.61;184024;11317788;66752308;50.24;50976956;11885268;204
pes;1;2020-04-02 08:49:20 UTC;0.00;0.00;0.00;0.00;1031.00;0.00;163.00;0.00;0.00;0.00;0.00;259296;65594000;99.61;184024;11317788;66752308;50.24;50976956;11885268;204
pes;8457;2020-04-02 11:10:17 UTC;0.03;1.20;0.29;160.75;254.27;0.03;85.14;28.52;0.55;27.85;95.84;337116;65516180;99.49;182500;11387500;66739076;50.23;50959560;11823932;228
pes;1;2020-04-02 11:10:18 UTC;16.00;0.00;64.00;104.00;47354.00;15.00;398.00;0.00;0.00;0.00;0.00;335124;65518172;99.49;182500;11387492;66748440;50.24;50961304;11823932;228
pes;1;2020-04-02 11:10:19 UTC;0.00;0.00;0.00;72.00;17892.00;0.00;351.00;0.00;0.00;0.00;0.00;333312;65519984;99.49;182500;11387676;66748440;50.24;50963492;11824128;180
pes;17;2020-04-02 11:10:37 UTC;0.29;0.00;1.39;126.06;3835.06;0.35;654.96;0.00;0.00;0.00;0.00;345924;65507372;99.47;182500;11388984;66720796;50.22;50960500;11825300;260
pes;1;2020-04-02 11:10:38 UTC;4.00;0.00;28.00;0.00;3119.00;4.00;437.00;0.00;0.00;0.00;0.00;343932;65509364;99.48;182500;11388980;66728896;50.22;50962244;11825300;260
pes;1;2020-04-02 11:10:39 UTC;0.00;0.00;0.00;0.00;1093.00;0.00;148.00;0.00;0.00;0.00;0.00;343152;65510144;99.48;182500;11389052;66728896;50.22;50963012;11825328;320
pes;1180;2020-04-02 11:30:19 UTC;0.20;0.89;0.87;299.05;7172.13;0.18;197.27;19.15;3.87;22.12;96.11;261972;65591324;99.60;182336;11451684;66733840;50.23;51000744;11870180;40
pes;1;2020-04-02 11:30:20 UTC;7.00;0.00;32.00;0.00;2467.00;7.00;692.00;0.00;0.00;0.00;0.00;260592;65592704;99.60;182336;11451700;66733840;50.23;51002688;11870184;40
pes;1;2020-04-02 11:30:21 UTC;0.00;0.00;0.00;276.00;1027.00;0.00;158.00;0.00;0.00;0.00;0.00;260600;65592696;99.60;182336;11451700;66733840;50.23;51002800;11870184;692
pes;17;2020-04-02 11:30:38 UTC;0.41;32.21;1.65;1353.66;2327.30;0.41;767.85;567.43;0.00;534.93;94.27;257164;65596132;99.61;182248;11455092;66720668;50.22;51000248;11874480;22332
pes;1;2020-04-02 11:30:39 UTC;10.00;0.00;40.00;0.00;3365.00;10.00;435.00;0.00;0.00;0.00;0.00;255676;65597620;99.61;182248;11455088;66728820;50.22;51001992;11874480;22332
pes;1;2020-04-02 11:30:40 UTC;0.00;0.00;0.00;0.00;1328.00;0.00;165.00;0.00;0.00;0.00;0.00;255676;65597620;99.61;182248;11455088;66728820;50.22;51001992;11874480;22332
